index,Site Type,Name,Total PFAS,Latitude,Longtitude,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,spilldata,chemindustry,federalsites,greenhouse,solidwaste,ustincident,chemtowater,landfiltowater,coalash,hazardwaste,oldhazardsite,elevation
0,Drinking Water,ROBESON COUNTY WATER SYSTEM,200600.0,35.06375,-78.87223,8.23108883289276,0.25062686784941224,2.153213225025608,2.153213225025608,11.553888057973067,7.597190453603955,2.153213225025608,26.001681494887993,24.856028977597692,3.5909402721835297,0.8579351943844878,9.915789595819758,11.55102267722675,8.504091202542192,0.7652310371922233,0.8930384049176832,34.0
1,Drinking Water,City of Greensboro,124000.0,36.21522,-79.66144,12.437805417605057,5.69267400089803,7.410374780932324,7.410374780932324,4.619498468731658,25.87907386687056,7.410374780932324,26.23134346342402,31.368202883236997,5.16638499136347,22.068739895990507,3.1321502119427835,5.863486951172348,36.63077042212611,6.179737663575887,6.5732426637599755,246.0
2,Drinking Water,BRAGG COMMUNITIES/NTA,114500.0,35.27629,-79.17743,19.261164367573798,3.294521851157609,18.746786765157637,18.746786765157637,27.37814001939622,19.14381661807813,18.746786765157637,15.867237238567645,57.298025730769446,38.13811431656813,19.991600360298026,28.463734831010363,30.44364964025525,28.097213251413216,1.1213438793696302,13.719421853561666,87.0
3,Drinking Water,TOWN OF JAMESTOWN  NC,105600.0,35.96232,-79.97522,15.63347826126913,3.8926920060936965,0.27440569883128213,0.27440569883128213,4.73275156516142,18.150425049436038,0.27440569883128213,53.20637785963621,12.635001633262071,7.72453935136959,5.198389437093244,4.642922038211322,6.814338444290457,26.20147074418287,1.0453143965580527,1.247586536989508,269.0
4,Drinking Water,LILLINGTON WATER SYSTEM,56700.0,35.38163,-78.90619,15.974347872651721,12.812955132019784,19.865210293718697,19.865210293718697,15.996619408432712,25.23109173959121,19.865210293718697,34.79427209415511,57.864538921767554,14.304226121084222,25.791250697954037,19.39594144448272,27.781903041342797,17.205888988490635,8.403811283164854,8.466393625707626,83.0
5,Drinking Water,CITY OF BESSEMER CITY  NC,50300.0,35.31616,-81.27391,17.129260536841787,2.6182893341799147,4.929627168768472,4.929627168768472,28.67788693237198,22.04023801659691,4.929627168768472,33.171854065141545,145.265049337107,9.17509506897801,9.991504273597897,28.445763609813184,30.442655932204,28.214531736249153,3.3324268878175887,3.630981844485161,219.0
6,Drinking Water,TOWN OF SELMA  NC,35700.0,35.58045,-78.2704,11.716457191117572,10.320573401353249,8.235730585551382,8.235730585551382,18.01490460604934,78.06226034608031,8.235730585551382,37.61159186071394,62.508428744917474,17.501026464431156,9.10943073739621,26.10526833491962,28.266637283159213,55.66504081994291,3.63099996298887,4.409751550440337,57.0
7,Drinking Water,SEYMOUR JOHNSON AFB,30600.0,35.35057,-77.96815,1.3884595945155853,0.6548857870005852,0.13727373531876866,0.13727373531876866,16.7375008564606,83.76691443639955,0.13727373531876866,0.2047465479780965,97.3310249530762,9.069230853987637,3.3501364402968,16.871687467353986,16.61003420638148,46.912057246959286,0.9304382450811047,2.7729077860307916,28.0
8,Drinking Water,Town of Fuquay-Varina,30000.0,35.58434,-78.80003,9.87481795672515,6.42563845719739,2.5966313432812185,2.5966313432812185,18.236071759223737,49.733460145492764,2.5966313432812185,31.55521175043509,35.214517649977154,10.791239317057178,9.557558904413222,17.142404921178958,13.529899440964632,36.02525678245746,1.0264116800476084,0.22976758931095556,125.0
9,Drinking Water,LAMPLIGHTER SOUTH-DANBY,29000.0,35.08041,-80.88759,15.177253978393132,2.1402224249340893,2.4856922094579623,2.4856922094579623,15.288714453260484,6.290162600687678,2.4856922094579623,15.568075472337188,125.82367572558755,16.171715582362694,5.483912085535008,14.245718354243172,16.233146871786236,15.812531611281331,0.7676613472042724,0.7392127107088353,184.0
10,Drinking Water,CFPUA - Wilmington,27000.0,34.30237,-77.98529,8.622998570188518,1.2010258439437875,0.9228101101310126,0.9228101101310126,5.4393060044053305,13.063959269312809,0.9228101101310126,31.614011806261278,98.51868390990005,6.481545480139798,5.6556971174452215,4.99378286981237,6.394159301787854,20.573557664353505,1.6872943007484118,1.3439634403449743,12.0
11,Drinking Water,CITY OF DURHAM  NC,26100.0,35.8387,-78.82694,5.672022142281514,6.391102104230805,0.22013708366809343,0.22013708366809343,13.656169603983958,76.04941301523904,0.22013708366809343,5.467698134653939,6.852984204676752,17.077202606714188,12.440332954718054,13.45295410745105,10.214912501129119,21.041886439582125,0.3037708706966394,0.6117857871514653,120.0
12,Drinking Water,Moore County Public Utilities - Pinehurst,25000.0,35.26479,-79.53786,13.706284074388039,5.612378127172851,15.537547876457198,15.537547876457198,19.735886565246883,49.028980079259476,15.537547876457198,26.59226210395071,79.12171210288056,15.705535831739757,8.97761142568617,19.394560796215046,22.08163228861222,57.276251478952645,4.039922858649504,3.958695753919957,151.0
13,Drinking Water,City of Albemarle,20000.0,35.32139,-80.20982,12.233103892503769,5.576169861222632,4.635214622592289,4.635214622592289,17.82683681793218,45.51597309284219,4.635214622592289,46.08938326048269,86.733865669902,33.809636496202735,3.1294574778962168,14.557179993125365,13.602783652829572,42.48277157835968,1.9649932316114689,2.2369314054509037,155.0
14,Drinking Water,UNION COUNTY WATER SYSTEM,15900.0,35.10196,-80.59939,2.180229883879809,10.351972185129231,5.035417011887383,5.035417011887383,18.910967787807866,29.327829148627153,5.035417011887383,32.59996608691262,122.52539007627111,32.250978287116645,9.417634975341164,23.01201179476174,11.60595831008529,38.230806968126146,5.272150723562971,3.6550984383706044,189.0
15,Drinking Water,Fayetteville Public Works Commission,15000.0,35.06375,-78.87223,8.23108883289276,0.25062686784941224,2.153213225025608,2.153213225025608,11.553888057973067,7.597190453603955,2.153213225025608,26.001681494887993,24.856028977597692,3.5909402721835297,0.8579351943844878,9.915789595819758,11.55102267722675,8.504091202542192,0.7652310371922233,0.8930384049176832,34.0
16,Drinking Water,BRUNSWICK COUNTY WATER SYSTEM,13700.0,34.30237,-77.98529,8.622998570188518,1.2010258439437875,0.9228101101310126,0.9228101101310126,5.4393060044053305,13.063959269312809,0.9228101101310126,31.614011806261278,98.51868390990005,6.481545480139798,5.6556971174452215,4.99378286981237,6.394159301787854,20.573557664353505,1.6872943007484118,1.3439634403449743,12.0
17,Drinking Water,BLADEN CO WTR DIST-EAST BLADEN,13600.0,34.93037,-78.72495,11.410922915824466,13.62490713888622,6.959276160709157,6.959276160709157,12.85985384814647,12.881935283276386,6.959276160709157,44.49138636833712,14.304282957466967,9.163157319962034,9.785847175338287,8.346865784093906,0.8092228224450109,28.497456053614076,8.633167388814877,8.091277094761818,41.0
18,Drinking Water,Brunswick Regional Water & Sewer H2GO,13210.0,34.25775,-78.08801,17.331244162267,4.101223651018859,1.481142150914303,1.481142150914303,5.585337982554211,20.8100444959876,1.481142150914303,28.651736808395356,94.58825702168063,14.65787254584998,13.099209552943751,7.066118283102725,7.367426382574585,11.99675262289927,1.3140953185055044,0.2890786570873468,21.0
19,Drinking Water,TOWN OF WADESBORO  NC,12800.0,34.96821,-80.07673,5.7664837473786195,8.684934818020343,5.713994767171823,5.713994767171823,11.306981982830624,78.848765935926,5.713994767171823,54.64115208334708,113.75780076571937,7.5051927216594265,43.66044279738236,10.051796288930786,3.028969356188636,77.64331961165402,1.4747497487923886,1.4729275410445655,153.0
20,Drinking Water,TOWN OF WINGATE   NC ,10600.0,34.98062,-80.44378,16.63760850320428,6.370532122538774,2.1533610775404672,2.1533610775404672,11.322460824778034,46.43246635583737,2.1533610775404672,51.379950569429965,126.6085326511177,33.40611204264607,12.898981692640422,12.484325925266452,8.881754122976433,56.056197558567575,3.803873100863241,3.7990893486350426,201.0
